	Latitude	Longitude	Address	Zip	Price	RoomType	Bathrooms	SQFT	Date
229	42.36304	-71.05275	112 Fulton St #2A Boston 02109	2109	4400.0	2	2.5	1240	30/11/2016
230	42.36754	-71.05436	North End Boston 02109	2109	3600.0	3	1.0		30/11/2016
231	42.35933	-71.05491	126 State St Boston 02109	2109	3350.0	2	2.5		30/11/2016
232	42.366272	-71.04959	50 Battery St Boston 02109	2109	7250.0	2	2.5		30/11/2016
233	42.357754	-71.05401	153 Milk St #2A Boston 02109	2109	4000.0	2	2.0		30/11/2016
234	42.366215	-71.05181	376 Commercial St Boston 02109	2109	4000.0	2	2.5		30/11/2016
235	42.357758	-71.05744	85 Devonshire #310 Boston 02109	2109	13900.0	3	3.0	2565	30/11/2016
236	42.357758	-71.05744	85 Devonshire Boston 02109	2109	7900.0	2	2.0	1445	30/11/2016
237	42.357758	-71.05744	85 Devonshire #306 Boston 02109	2109	3800.0	1	1.0	770	30/11/2016
238	42.358788	-71.05654	45 State St Boston 02109	2109	2895.0	1	1.0		30/11/2016
239	42.36754	-71.05436	14 Foster St #10 Boston 02109	2109	1825.0	1	1.0	535	30/11/2016
240	42.36758	-71.05398	3 Foster Ct #4 Boston 02109	2109	1800.0	1	1.0	700	30/11/2016
241	42.364586	-71.052345	36 Fleet St #NICE5 Boston 02109	2109	2200.0	1	1.0		30/11/2016
242	42.366226	-71.05108	357 Commercial St #412 Boston 02109	2109	2700.0	2	1.0	792	30/11/2016
243	42.36652	-71.05189	386 Commercial St #3A Boston 02109	2109	2650.0		1.0	380	30/11/2016
244	42.36513	-71.05145	300 Commercial St Boston 02109	2109	1950.0	1	1.0	1358	30/11/2016
245	42.361576	-71.053276	82 Commercial St #2 Boston 02109	2109	2800.0	2	1.5	1200	30/11/2016
246	42.362587	-71.05272	125 Fulton St #2 Boston 02109	2109	2900.0	2	2.0		30/11/2016
247	42.35787	-71.054504	116 Milk St800 Boston 02109	2109	6400.0	4	4.0		30/11/2016
248	42.364964	-71.052536	25 Clark St #8A Boston 02109	2109	2600.0	2	1.0		30/11/2016
249	42.36523	-71.05233	North End Boston 02109	2109	1950.0	1	1.0		30/11/2016
250	42.36587	-71.05135	North End Boston 02109	2109	2900.0	2	1.5	1500	30/11/2016
251	42.36652	-71.05189	North End Boston 02109	2109	1850.0	1	1.0	650	30/11/2016
252	42.36195	-71.05332	North End Boston 02109	2109	3300.0	2	1.0		30/11/2016
253	42.366215	-71.05181	376 Commercial St #2F Boston 02109	2109	4000.0	2	2.5	1218	30/11/2016
254	42.3628	-71.053955	North End Boston 02109	2109	4500.0	3	2.0		30/11/2016
255	42.27506	-71.06261	123 Richmond St #1 Boston 02109	2109	2500.0	2	1.0	650	30/11/2016
256	42.366226	-71.05108	357 Commercial St #MM36 Boston 02109	2109	2300.0	1	1.0	800	30/11/2016
257	42.365677	-71.05187	North End Boston 02109	2109	2500.0	2	1.0		30/11/2016
258	42.365677	-71.05187	North End Boston 02109	2109	2500.0	2	1.0		30/11/2016
259	42.365223	-71.0523	North End Boston 02109	2109	1700.0		1.0		30/11/2016
260	42.366215	-71.05181	North End Boston 02109	2109	4200.0	2	3.0		30/11/2016
261	42.275505	-71.062386	130 Richmond St #1 Boston 02109	2109	2500.0	2	1.0	650	30/11/2016
262	42.361916	-71.05298	110 Commercial St #3 Boston 02109	2109	3500.0	2	1.0	980	30/11/2016
263	42.365677	-71.05187	25 Hanover Ave #3 Boston 02109	2109	2500.0	2	1.0		30/11/2016
264	42.365925	-71.05231	North End Boston 02109	2109	3300.0	2	2.0		30/11/2016
265	42.365677	-71.05187	North End Boston 02109	2109	2500.0	2	1.0	900	30/11/2016
266	42.366615	-71.0518	North End Boston 02109	2109	2400.0	2	2.0		30/11/2016
267	42.36277	-71.05315	North End Boston 02109	2109	2900.0	2	2.0	1142	30/11/2016
268	42.36277	-71.05315	100 Fulton St #3D Boston 02109	2109	2600.0	1	1.0	800	30/11/2016
269	42.357754	-71.05401	Downtown Boston Boston 02109	2109	3930.0	2	2.0		30/11/2016
270	42.36752	-71.05388	472 Commercial St Boston 02109	2109	1800.0	1	1.0		30/11/2016
271	42.36523	-71.05233	North End Boston 02109	2109	1800.0	1	1.0		30/11/2016
272	42.36523	-71.05233	North End Boston 02109	2109	1800.0	1	1.0	500	30/11/2016
